block,sae_seed,region_source,threshold,step_index,method,n,region_a_empty_rate,region_b_empty_rate
23,43,attn,0.3,8,topk,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.1,1,pre,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.1,1,raw,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.1,1,topk,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.1,4,pre,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.1,4,raw,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.1,4,topk,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.1,8,pre,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.1,8,raw,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.1,8,topk,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.5,1,pre,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.5,1,raw,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.5,1,topk,1963,0.14314824248599084,0.14060112073357106
23,43,attn,0.5,4,pre,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.5,4,raw,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.5,4,topk,1963,0.12328069281711666,0.09984717269485481
23,43,attn,0.5,8,pre,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.5,8,raw,1963,0.09526235354049924,0.07590422822210902
23,43,attn,0.5,8,topk,1963,0.09526235354049924,0.07590422822210902
23,43,none,0.3,1,pre,1963,0.0,0.0
23,43,none,0.3,1,raw,1963,0.0,0.0
23,43,none,0.3,1,topk,1963,0.0,0.0
23,43,none,0.3,4,pre,1963,0.0,0.0
23,43,none,0.3,4,raw,1963,0.0,0.0
23,43,none,0.3,4,topk,1963,0.0,0.0
23,43,none,0.3,8,pre,1963,0.0,0.0
23,43,none,0.3,8,raw,1963,0.0,0.0
23,43,none,0.3,8,topk,1963,0.0,0.0
23,43,none,0.1,1,pre,1963,0.0,0.0
23,43,none,0.1,1,raw,1963,0.0,0.0
23,43,none,0.1,1,topk,1963,0.0,0.0
23,43,none,0.1,4,pre,1963,0.0,0.0
23,43,none,0.1,4,raw,1963,0.0,0.0
23,43,none,0.1,4,topk,1963,0.0,0.0
23,43,none,0.1,8,pre,1963,0.0,0.0
23,43,none,0.1,8,raw,1963,0.0,0.0
23,43,none,0.1,8,topk,1963,0.0,0.0
23,43,none,0.5,1,pre,1963,0.0,0.0
23,43,none,0.5,1,raw,1963,0.0,0.0
23,43,none,0.5,1,topk,1963,0.0,0.0
23,43,none,0.5,4,pre,1963,0.0,0.0
23,43,none,0.5,4,raw,1963,0.0,0.0
23,43,none,0.5,4,topk,1963,0.0,0.0
23,43,none,0.5,8,pre,1963,0.0,0.0
23,43,none,0.5,8,raw,1963,0.0,0.0
23,43,none,0.5,8,topk,1963,0.0,0.0
8,42,attn,0.3,1,pre,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.3,1,raw,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.3,1,topk,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.3,4,pre,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.3,4,raw,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.3,4,topk,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.3,8,pre,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.3,8,raw,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.3,8,topk,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.1,1,pre,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.1,1,raw,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.1,1,topk,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.1,4,pre,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.1,4,raw,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.1,4,topk,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.1,8,pre,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.1,8,raw,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.1,8,topk,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.5,1,pre,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.5,1,raw,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.5,1,topk,1963,0.14314824248599084,0.14060112073357106
8,42,attn,0.5,4,pre,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.5,4,raw,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.5,4,topk,1963,0.12328069281711666,0.09984717269485481
8,42,attn,0.5,8,pre,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.5,8,raw,1963,0.09526235354049924,0.07590422822210902
8,42,attn,0.5,8,topk,1963,0.09526235354049924,0.07590422822210902
8,42,none,0.3,1,pre,1963,0.0,0.0
8,42,none,0.3,1,raw,1963,0.0,0.0
8,42,none,0.3,1,topk,1963,0.0,0.0
8,42,none,0.3,4,pre,1963,0.0,0.0
8,42,none,0.3,4,raw,1963,0.0,0.0
8,42,none,0.3,4,topk,1963,0.0,0.0
8,42,none,0.3,8,pre,1963,0.0,0.0
8,42,none,0.3,8,raw,1963,0.0,0.0
8,42,none,0.3,8,topk,1963,0.0,0.0
8,42,none,0.1,1,pre,1963,0.0,0.0
8,42,none,0.1,1,raw,1963,0.0,0.0
8,42,none,0.1,1,topk,1963,0.0,0.0
8,42,none,0.1,4,pre,1963,0.0,0.0
8,42,none,0.1,4,raw,1963,0.0,0.0
8,42,none,0.1,4,topk,1963,0.0,0.0
8,42,none,0.1,8,pre,1963,0.0,0.0
8,42,none,0.1,8,raw,1963,0.0,0.0
8,42,none,0.1,8,topk,1963,0.0,0.0
8,42,none,0.5,1,pre,1963,0.0,0.0
8,42,none,0.5,1,raw,1963,0.0,0.0
8,42,none,0.5,1,topk,1963,0.0,0.0
8,42,none,0.5,4,pre,1963,0.0,0.0
8,42,none,0.5,4,raw,1963,0.0,0.0
8,42,none,0.5,4,topk,1963,0.0,0.0
8,42,none,0.5,8,pre,1963,0.0,0.0
8,42,none,0.5,8,raw,1963,0.0,0.0
8,42,none,0.5,8,topk,1963,0.0,0.0
8,43,attn,0.3,1,pre,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.3,1,raw,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.3,1,topk,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.3,4,pre,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.3,4,raw,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.3,4,topk,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.3,8,pre,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.3,8,raw,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.3,8,topk,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.1,1,pre,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.1,1,raw,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.1,1,topk,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.1,4,pre,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.1,4,raw,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.1,4,topk,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.1,8,pre,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.1,8,raw,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.1,8,topk,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.5,1,pre,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.5,1,raw,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.5,1,topk,1963,0.14314824248599084,0.14060112073357106
8,43,attn,0.5,4,pre,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.5,4,raw,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.5,4,topk,1963,0.12328069281711666,0.09984717269485481
8,43,attn,0.5,8,pre,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.5,8,raw,1963,0.09526235354049924,0.07590422822210902
8,43,attn,0.5,8,topk,1963,0.09526235354049924,0.07590422822210902
8,43,none,0.3,1,pre,1963,0.0,0.0
8,43,none,0.3,1,raw,1963,0.0,0.0
8,43,none,0.3,1,topk,1963,0.0,0.0
8,43,none,0.3,4,pre,1963,0.0,0.0
8,43,none,0.3,4,raw,1963,0.0,0.0
8,43,none,0.3,4,topk,1963,0.0,0.0
8,43,none,0.3,8,pre,1963,0.0,0.0
8,43,none,0.3,8,raw,1963,0.0,0.0
8,43,none,0.3,8,topk,1963,0.0,0.0
8,43,none,0.1,1,pre,1963,0.0,0.0
8,43,none,0.1,1,raw,1963,0.0,0.0
8,43,none,0.1,1,topk,1963,0.0,0.0
8,43,none,0.1,4,pre,1963,0.0,0.0
8,43,none,0.1,4,raw,1963,0.0,0.0
8,43,none,0.1,4,topk,1963,0.0,0.0
8,43,none,0.1,8,pre,1963,0.0,0.0
8,43,none,0.1,8,raw,1963,0.0,0.0
8,43,none,0.1,8,topk,1963,0.0,0.0
8,43,none,0.5,1,pre,1963,0.0,0.0
8,43,none,0.5,1,raw,1963,0.0,0.0
8,43,none,0.5,1,topk,1963,0.0,0.0
8,43,none,0.5,4,pre,1963,0.0,0.0
8,43,none,0.5,4,raw,1963,0.0,0.0
8,43,none,0.5,4,topk,1963,0.0,0.0
8,43,none,0.5,8,pre,1963,0.0,0.0
8,43,none,0.5,8,raw,1963,0.0,0.0
8,43,none,0.5,8,topk,1963,0.0,0.0
